idx,address,contract_name,compiler_version,total_nonempty_lines,contains_risk_keyword,input_file,original_source_dir,optimization_used,runs,license_type,proxy,implementation,etherscan_contract_name
26,0x5981729367A4bb466Dd3E75EB701A31405FE6D1D,CryptoTimeLock,v0.8.34+commit.80d5c536,242,True,recent_preprocessed_risk_only/contracts/0026_0x5981729367A4bb466Dd3E75EB701A31405FE6D1D_CryptoTimeLock.sol,recent_etherscan_300/sources/0x5981729367A4bb466Dd3E75EB701A31405FE6D1D_CryptoTimeLock,0,200,,0,,CryptoTimeLock
27,0xc48eb5682b9774FBA9065194ca11aBA53DC446BC,MyFluxtoken,v0.8.24+commit.e11b9ed9,671,True,recent_preprocessed_risk_only/contracts/0027_0xc48eb5682b9774FBA9065194ca11aBA53DC446BC_MyFluxtoken.sol,recent_etherscan_300/sources/0xc48eb5682b9774FBA9065194ca11aBA53DC446BC_MyFluxtoken,0,200,,0,,MyFluxtoken
28,0x1Cb8E88afDe521aaA0108F2b788D467C286ABAe7,OpenRouter,v0.8.34+commit.80d5c536,1607,True,recent_preprocessed_risk_only/contracts/0028_0x1Cb8E88afDe521aaA0108F2b788D467C286ABAe7_OpenRouter.sol,recent_etherscan_300/sources/0x1Cb8E88afDe521aaA0108F2b788D467C286ABAe7_OpenRouter,1,2000,GNU GPLv3,0,,OpenRouter
29,0xCAF0865334EB135b8C47Fca6D9049D5EaFe19D9b,SaturnStrategy,v0.8.28+commit.7893614a,4246,True,recent_preprocessed_risk_only/contracts/0029_0xCAF0865334EB135b8C47Fca6D9049D5EaFe19D9b_SaturnStrategy.sol,recent_etherscan_300/sources/0xCAF0865334EB135b8C47Fca6D9049D5EaFe19D9b_SaturnStrategy,1,200,,0,,SaturnStrategy
30,0xF6ADF6304424aCBA88ac645F652933AD09ccfc58,FusangNonfungiblePositionManager,v0.8.30+commit.73712a01,12780,True,recent_preprocessed_risk_only/contracts/0030_0xF6ADF6304424aCBA88ac645F652933AD09ccfc58_FusangNonfungiblePositionManager.sol,recent_etherscan_300/sources/0xF6ADF6304424aCBA88ac645F652933AD09ccfc58_FusangNonfungiblePositionManager,1,200,GNU GPLv2,0,,FusangNonfungiblePositionManager
31,0x85608c846d83900078de05a284a75212ef6cb5ff,DUCKY,v0.8.23+commit.f704f362,298,True,recent_preprocessed_risk_only/contracts/0031_0x85608c846d83900078de05a284a75212ef6cb5ff_DUCKY.sol,recent_etherscan_300/sources/0x85608c846d83900078de05a284a75212ef6cb5ff_DUCKY,1,200,Unlicense,0,,DUCKY
32,0xec41fDC51e47b5c8a8ed764Fdae43Cf061CeEBcF,BurnBombV1_1a,v0.8.28+commit.7893614a,1824,True,recent_preprocessed_risk_only/contracts/0032_0xec41fDC51e47b5c8a8ed764Fdae43Cf061CeEBcF_BurnBombV1_1a.sol,recent_etherscan_300/sources/0xec41fDC51e47b5c8a8ed764Fdae43Cf061CeEBcF_BurnBombV1_1a,1,1,,0,,BurnBombV1_1a
33,0xBB94ba78878fE6af9Fb9DDD9261020d4643D0b1A,SatToken,v0.8.26+commit.8a97fa7a,593,True,recent_preprocessed_risk_only/contracts/0033_0xBB94ba78878fE6af9Fb9DDD9261020d4643D0b1A_SatToken.sol,recent_etherscan_300/sources/0xBB94ba78878fE6af9Fb9DDD9261020d4643D0b1A_SatToken,0,200,,0,,SatToken
34,0x78e9a2cB9392a253d621F894242275adF735C372,GlassApeERC20,v0.8.30+commit.73712a01,544,True,recent_preprocessed_risk_only/contracts/0034_0x78e9a2cB9392a253d621F894242275adF735C372_GlassApeERC20.sol,recent_etherscan_300/sources/0x78e9a2cB9392a253d621F894242275adF735C372_GlassApeERC20,0,200,,0,,GlassApeERC20
35,0xa76b30a59441f24f73789f0f6117398021d1ffbf,WardrobeItems,v0.8.20+commit.a1b79de6,1238,True,recent_preprocessed_risk_only/contracts/0035_0xa76b30a59441f24f73789f0f6117398021d1ffbf_WardrobeItems.sol,recent_etherscan_300/sources/0xa76b30a59441f24f73789f0f6117398021d1ffbf_WardrobeItems,1,99999999,,0,,WardrobeItems
36,0x2b3FD673882fA64A3dA7D78563D408b8028f81B1,WildernessProtocol,v0.8.30+commit.73712a01,543,True,recent_preprocessed_risk_only/contracts/0036_0x2b3FD673882fA64A3dA7D78563D408b8028f81B1_WildernessProtocol.sol,recent_etherscan_300/sources/0x2b3FD673882fA64A3dA7D78563D408b8028f81B1_WildernessProtocol,1,400,,0,,WildernessProtocol
37,0x18256221ac6F54A0e1d136429e136D2dE2784627,GeneralPumpERC20,v0.8.30+commit.73712a01,544,True,recent_preprocessed_risk_only/contracts/0037_0x18256221ac6F54A0e1d136429e136D2dE2784627_GeneralPumpERC20.sol,recent_etherscan_300/sources/0x18256221ac6F54A0e1d136429e136D2dE2784627_GeneralPumpERC20,0,200,,0,,GeneralPumpERC20
38,0xc0b65de3dffcf407bdbfb82e3a6f26dacce0babb,QRYPT,v0.8.24+commit.e11b9ed9,5058,True,recent_preprocessed_risk_only/contracts/0038_0xc0b65de3dffcf407bdbfb82e3a6f26dacce0babb_QRYPT.sol,recent_etherscan_300/sources/0xc0b65de3dffcf407bdbfb82e3a6f26dacce0babb_QRYPT,1,200,,0,,QRYPT
39,0xda0c0402714999d4eb24e9ec7bcff10b7ad43c45,dnas,v0.8.33+commit.64118f21,2225,True,recent_preprocessed_risk_only/contracts/0039_0xda0c0402714999d4eb24e9ec7bcff10b7ad43c45_dnas.sol,recent_etherscan_300/sources/0xda0c0402714999d4eb24e9ec7bcff10b7ad43c45_dnas,1,200,,0,,dnas
40,0xce85FC7D17367d099D2067cc485188bc6cA86e3F,AetherVault,v0.8.20+commit.a1b79de6,652,True,recent_preprocessed_risk_only/contracts/0040_0xce85FC7D17367d099D2067cc485188bc6cA86e3F_AetherVault.sol,recent_etherscan_300/sources/0xce85FC7D17367d099D2067cc485188bc6cA86e3F_AetherVault,0,200,MIT,0,,AetherVault
41,0x14e691f3feae772a4d45530ebf7853ef67487fb3,SpyBatch,v0.8.26+commit.8a97fa7a,1837,True,recent_preprocessed_risk_only/contracts/0041_0x14e691f3feae772a4d45530ebf7853ef67487fb3_SpyBatch.sol,recent_etherscan_300/sources/0x14e691f3feae772a4d45530ebf7853ef67487fb3_SpyBatch,1,800,,0,,SpyBatch
42,0xE6809b6D1865F61cfCBC2B263De30145dbc4b6Ee,FusangAllowList,v0.8.30+commit.73712a01,12780,True,recent_preprocessed_risk_only/contracts/0042_0xE6809b6D1865F61cfCBC2B263De30145dbc4b6Ee_FusangAllowList.sol,recent_etherscan_300/sources/0xE6809b6D1865F61cfCBC2B263De30145dbc4b6Ee_FusangAllowList,1,200,GNU GPLv2,0,,FusangAllowList
43,0x9Ff30Eb949CD6D88386923B115d69841A856d862,Streamer,v0.8.29+commit.ab55807c,1952,True,recent_preprocessed_risk_only/contracts/0043_0x9Ff30Eb949CD6D88386923B115d69841A856d862_Streamer.sol,recent_etherscan_300/sources/0x9Ff30Eb949CD6D88386923B115d69841A856d862_Streamer,1,200,MIT,0,,Streamer
44,0x8E1D44402A19fFCf4B5631e2DBbcdE5DeE4C7c58,StateSetterLib,v0.8.27+commit.40a35a09,5483,True,recent_preprocessed_risk_only/contracts/0044_0x8E1D44402A19fFCf4B5631e2DBbcdE5DeE4C7c58_StateSetterLib.sol,recent_etherscan_300/sources/0x8E1D44402A19fFCf4B5631e2DBbcdE5DeE4C7c58_StateSetterLib,1,190,,0,,StateSetterLib
45,0xe936510948464c24FA8Deb0dC16285363f28b027,ConcreteStandardVaultImpl,v0.8.27+commit.40a35a09,8861,True,recent_preprocessed_risk_only/contracts/0045_0xe936510948464c24FA8Deb0dC16285363f28b027_ConcreteStandardVaultImpl.sol,recent_etherscan_300/sources/0xe936510948464c24FA8Deb0dC16285363f28b027_ConcreteStandardVaultImpl,1,190,,0,,ConcreteStandardVaultImpl
46,0x071032ef4AB7e66ba16a86Cbe20450d2ea6AA477,WithdrawLib,v0.8.27+commit.40a35a09,2865,True,recent_preprocessed_risk_only/contracts/0046_0x071032ef4AB7e66ba16a86Cbe20450d2ea6AA477_WithdrawLib.sol,recent_etherscan_300/sources/0x071032ef4AB7e66ba16a86Cbe20450d2ea6AA477_WithdrawLib,1,190,,0,,WithdrawLib
